generation,best_ppm,best_ever_ppm,mean_ppm,seconds
0,962.047,962.047,102988,8.8e-08
1,934.039,934.039,54655.6,0.416493
2,781.089,781.089,33674.3,0.47349
3,395.487,395.487,23266.9,0.593194
4,395.487,395.487,18263.2,0.464699
5,395.487,395.487,15008.2,0.502346
6,395.487,395.487,13311.4,0.514501
7,395.487,395.487,12137.5,0.3921
8,285.704,285.704,12306.6,0.37552
9,285.704,285.704,10892.9,0.40809
10,285.704,285.704,10394.6,0.370897
11,266.412,266.412,9355.71,0.451017
12,229.544,229.544,9531.51,0.403318
13,229.544,229.544,8688.11,0.410334
14,229.544,229.544,8779.7,0.408991
15,229.544,229.544,8017.23,0.487601
16,214.034,214.034,8458.01,0.396062
17,214.034,214.034,7905.55,0.360093
18,214.034,214.034,8130.93,0.430269
19,214.034,214.034,8279.31,0.361924
20,214.034,214.034,7659.61,0.370153
21,214.034,214.034,7451.04,0.390294
22,214.034,214.034,7016.22,0.376994
23,212,212,7105.72,0.368292
24,212,212,6750.75,0.365441
25,212,212,6359.32,0.333886
26,212,212,6236.67,0.340622
27,212,212,6009.03,0.380276
28,212,212,5507.1,0.359393
29,212,212,6079.5,0.36826
30,211.136,211.136,5452.76,0.327541
31,211.136,211.136,5815.06,0.32203
32,211.136,211.136,5442.38,0.337623
33,211.136,211.136,5213.79,0.361539
34,211.136,211.136,5062.09,0.346448
35,211.136,211.136,5366.12,0.334134
36,211.136,211.136,5665.34,0.32881
37,211.136,211.136,5769.15,0.329399
38,211.136,211.136,5430.66,0.425541
39,210.732,210.732,4808.3,0.428415
40,210.732,210.732,4811.37,0.404104
41,210.732,210.732,5206.57,0.317208
42,210.732,210.732,5627.35,0.333929
43,210.732,210.732,5004.64,0.309233
44,210.732,210.732,5322.09,0.37272
45,210.628,210.628,5103.51,0.377134
46,210.284,210.284,5320.65,0.324615
47,210.284,210.284,5355.23,0.366433
48,210.284,210.284,5186.29,0.458643
49,210.284,210.284,4842.64,0.326797
50,210.284,210.284,5247.22,0.345371
51,210.284,210.284,5406.74,0.363646
52,210.284,210.284,5433.65,0.333514
53,210.284,210.284,5633.21,0.393977
54,210.284,210.284,5657.16,0.378331
55,210.284,210.284,5210.07,0.385729
56,210.284,210.284,4873.74,0.352506
57,210.284,210.284,5437.65,0.355864
58,210.284,210.284,5337.33,0.383322
59,210.284,210.284,5321.01,0.307431
60,210.284,210.284,5174.89,0.342783
61,210.284,210.284,5251.08,0.378442
62,210.284,210.284,5143.79,0.364487
63,210.284,210.284,4940.16,0.383422
64,210.284,210.284,5235.17,0.386462
65,210.284,210.284,5132.5,0.423407
66,210.284,210.284,5369.93,0.343212
67,210.284,210.284,5562.56,0.491233
68,210.284,210.284,5200.2,0.403979
69,210.284,210.284,5204.92,0.407954
70,210.284,210.284,5079.55,0.322264
71,210.284,210.284,5570.65,0.429443
72,210.284,210.284,4755.53,0.413356
73,210.284,210.284,5737.21,0.472545
74,210.284,210.284,5530.6,0.486864
75,210.284,210.284,5165.71,0.411177
76,210.284,210.284,4784.88,0.350299
77,210.284,210.284,5647.8,0.387927
78,210.284,210.284,4893.55,0.455354
79,210.284,210.284,5415.06,0.32868
80,210.284,210.284,5440.13,0.327558
81,210.284,210.284,5064.6,0.332725
82,210.284,210.284,5583.73,0.355868
83,210.284,210.284,5377.21,0.437052
84,210.284,210.284,5303.49,0.421007
85,210.284,210.284,5967.38,0.412938
86,210.284,210.284,5202.46,0.452526
87,210.284,210.284,5295.39,0.510267
88,210.284,210.284,5056.56,0.435976
89,210.284,210.284,5289.66,0.432251
90,210.284,210.284,4659.63,0.363979
91,210.284,210.284,5691.42,0.445849
92,210.284,210.284,5772.61,0.500183
93,210.284,210.284,5672.68,0.485119
94,210.284,210.284,5760.21,0.396528
95,210.284,210.284,5162.51,0.538679
96,210.284,210.284,5129.97,0.407835
97,210.284,210.284,5420.12,0.560604
98,210.284,210.284,5111.13,0.413915
99,210.284,210.284,5490.58,0.371731
100,210.284,210.284,5337.7,0.411051
101,210.284,210.284,4959.62,0.421427
102,210.284,210.284,5416.58,0.417119
103,210.284,210.284,5066.09,0.368964
104,210.284,210.284,5082.09,0.403857
105,210.284,210.284,5316.62,0.377858
106,210.284,210.284,5364.25,0.515285
107,210.284,210.284,5468.74,0.562568
108,210.284,210.284,5392.26,0.439396
109,210.284,210.284,5094.15,0.487209
110,210.284,210.284,5504.37,0.362727
111,210.284,210.284,5045.02,0.426126
112,210.284,210.284,4893.74,0.400117
113,210.284,210.284,5431.97,0.403932
114,210.284,210.284,5247.93,0.450736
115,210.284,210.284,5311.97,0.346871
116,210.284,210.284,5230.82,0.42551
117,210.284,210.284,5477.19,0.384179
118,210.284,210.284,4808.77,0.407798
119,210.284,210.284,5420.56,0.433137
120,210.284,210.284,4832.24,0.49072
