generation,best_ppm,best_ever_ppm,mean_ppm,seconds
0,602.51,602.51,24589.2,8.4e-08
1,602.51,602.51,13701.2,1.95669
2,602.51,602.51,10660.6,1.92355
3,602.51,602.51,9160.15,1.78673
4,602.51,602.51,8239.16,2.27264
5,602.51,602.51,7597.06,2.40316
6,602.51,602.51,7221.79,2.76825
7,602.51,602.51,7467.24,3.10917
8,602.51,602.51,7075.62,2.64038
9,602.51,602.51,7009.37,2.43327
10,602.51,602.51,6719.44,2.43661
11,602.51,602.51,6427.83,2.39106
12,602.51,602.51,6303.92,2.22002
13,602.51,602.51,6057.07,2.15369
14,602.51,602.51,5869.62,2.07172
15,602.51,602.51,5408.44,2.0755
16,602.51,602.51,5437.61,2.29954
17,602.51,602.51,5473.44,2.32367
18,602.51,602.51,5392.82,2.2467
19,602.51,602.51,5481.05,2.12843
20,602.51,602.51,5429,2.17774
21,602.51,602.51,5437.42,2.04349
22,602.51,602.51,5428.89,2.19571
23,602.51,602.51,5399.37,2.26608
24,602.51,602.51,5429.78,2.07598
25,602.51,602.51,5507.44,2.16711
