generation,best_ppm,best_ever_ppm,mean_ppm,seconds
0,103.362,103.362,77056.6,1e-07
1,103.362,103.362,42317.8,0.312679
2,103.362,103.362,31535.2,0.30051
3,90.3897,90.3897,26843.5,0.283548
4,90.3897,90.3897,24701.9,0.291144
5,90.3897,90.3897,22907.9,0.34987
6,90.3897,90.3897,22228.7,0.325649
7,90.3897,90.3897,21584.7,0.299833
8,90.3897,90.3897,20848.7,0.34334
9,90.3897,90.3897,20088.8,0.284332
10,90.3897,90.3897,19477.4,0.264682
11,90.3897,90.3897,19377,0.298154
12,90.3897,90.3897,18895.6,0.300948
13,90.3897,90.3897,18183.6,0.291513
14,90.3897,90.3897,17785.7,0.290999
15,90.3897,90.3897,17670.5,0.296091
16,90.3897,90.3897,17144.2,0.282548
17,90.3897,90.3897,16892.9,0.28457
18,90.3897,90.3897,16335.3,0.281449
19,90.3897,90.3897,16401.2,0.301229
20,90.3897,90.3897,16141.5,0.264592
21,90.3897,90.3897,16701.2,0.378711
22,90.3897,90.3897,15808.3,0.375727
23,90.3897,90.3897,15839.7,0.298863
24,90.3897,90.3897,16421.9,0.274031
25,90.3897,90.3897,15597.4,0.286966
26,90.3897,90.3897,15627.9,0.293098
27,90.3897,90.3897,15531,0.302062
28,90.3897,90.3897,15236.1,0.296603
29,90.3897,90.3897,15052.2,0.26872
30,90.3897,90.3897,14996.8,0.275292
31,90.3897,90.3897,15392,0.300736
32,90.3897,90.3897,15179.5,0.27506
33,90.3897,90.3897,15387.3,0.272326
34,90.3897,90.3897,14880.2,0.29484
35,90.3897,90.3897,15136.3,0.299965
36,90.3897,90.3897,14958.3,0.261772
37,90.3897,90.3897,14972.3,0.292859
38,90.3897,90.3897,15118.7,0.282201
39,90.3897,90.3897,15333.2,0.291432
40,90.3897,90.3897,15421.4,0.270747
