x,y,z,Bx,By,Bz,Bmag
-0.0057000001,-0.000299999956,0.00120000029,0.212658584,1.32929563e-06,2.3789471e-06,0.212658584
-0.0057000001,-0.000299999956,0.00150000025,0.21265845,1.2591554e-06,2.79594678e-06,0.21265845
-0.0057000001,-0.000299999956,0.0018000002,0.212657318,1.33449794e-06,3.2990356e-06,0.212657318
-0.0057000001,0,-0.00179999974,0.212657377,-1.45009835e-07,-3.08285234e-06,0.212657377
-0.0057000001,0,-0.00149999978,0.212657973,5.14119165e-08,-3.03552952e-06,0.212657973
-0.0057000001,0,-0.00119999982,0.212658614,-8.54197424e-09,-2.41829548e-06,0.212658614
-0.0057000001,0,-0.000899999868,0.212659016,-3.57104e-08,-1.94058521e-06,0.212659016
-0.0057000001,0,-0.000599999912,0.212659329,2.5171903e-07,-1.69198029e-06,0.212659329
-0.0057000001,0,-0.000299999956,0.212659597,1.17288437e-08,-4.78758011e-07,0.212659597
-0.0057000001,0,0,0.212659851,-2.26616976e-07,7.65430741e-08,0.212659851
-0.0057000001,0,0.000300000422,0.212659538,5.73636498e-08,4.39060386e-07,0.212659538
-0.0057000001,0,0.000600000378,0.212659448,1.27351086e-07,1.47917308e-06,0.212659448
-0.0057000001,0,0.000900000334,0.212659001,-3.7085556e-08,1.94308814e-06,0.212659001
-0.0057000001,0,0.00120000029,0.212658569,-5.25615178e-08,2.41812086e-06,0.212658569
-0.0057000001,0,0.00150000025,0.212657914,1.59314368e-07,3.01812543e-06,0.212657914
-0.0057000001,0,0.0018000002,0.212657467,-1.45402737e-07,3.22802225e-06,0.212657467
-0.0057000001,0.000300000422,-0.00179999974,0.212657645,-1.35340088e-06,-2.81253597e-06,0.212657645
-0.0057000001,0.000300000422,-0.00149999978,0.212658256,-1.43662328e-06,-2.68581789e-06,0.212658256
-0.0057000001,0.000300000422,-0.00119999982,0.212658882,-1.17129821e-06,-2.62260437e-06,0.212658882
-0.0057000001,0.000300000422,-0.000899999868,0.212659329,-1.45552622e-06,-1.88068952e-06,0.212659329
-0.0057000001,0.000300000422,-0.000599999912,0.212659687,-1.15518924e-06,-1.21252378e-06,0.212659687
-0.0057000001,0.000300000422,-0.000299999956,0.212659478,-1.38606993e-06,-9.50123649e-07,0.212659478
-0.0057000001,0.000300000422,0,0.212659881,-1.32907007e-06,-3.0209776e-08,0.212659881
-0.0057000001,0.000300000422,0.000300000422,0.212659881,-1.30545959e-06,7.45989382e-07,0.212659881
-0.0057000001,0.000300000422,0.000600000378,0.212659597,-1.47864193e-06,1.34494621e-06,0.212659597
-0.0057000001,0.000300000422,0.000900000334,0.212659359,-1.43372745e-06,1.88173726e-06,0.212659359
-0.0057000001,0.000300000422,0.00120000029,0.212658852,-1.13753777e-06,2.62079993e-06,0.212658852
-0.0057000001,0.000300000422,0.00150000025,0.212658197,-1.35618757e-06,2.71102181e-06,0.212658197
-0.0057000001,0.000300000422,0.0018000002,0.212657705,-1.48135587e-06,2.81591201e-06,0.212657705
-0.0057000001,0.000600000378,-0.00149999978,0.212658376,-2.61949026e-06,-2.60240631e-06,0.212658376
-0.0057000001,0.000600000378,-0.00119999982,0.212659329,-2.6661146e-06,-2.50665471e-06,0.212659329
-0.0057000001,0.000600000378,-0.000899999868,0.212659374,-2.65946437e-06,-2.13383464e-06,0.212659374
-0.0057000001,0.000600000378,-0.000599999912,0.212659955,-2.74732884e-06,-1.3015233e-06,0.212659955
-0.0057000001,0.000600000378,-0.000299999956,0.212660179,-2.74879858e-06,-7.14906491e-07,0.212660179
-0.0057000001,0.000600000378,0,0.212660074,-2.75723869e-06,-4.56348062e-08,0.212660074
-0.0057000001,0.000600000378,0.000300000422,0.212660059,-2.86276918e-06,8.64209142e-07,0.212660059
-0.0057000001,0.000600000378,0.000600000378,0.21265991,-2.75961793e-06,1.41054625e-06,0.21265991
-0.0057000001,0.000600000378,0.000900000334,0.212659374,-2.65915878e-06,2.13133171e-06,0.212659374
-0.0057000001,0.000600000378,0.00120000029,0.212659284,-2.66482675e-06,2.50834273e-06,0.212659285
-0.0057000001,0.000600000378,0.00150000025,0.212658376,-2.75191996e-06,2.57464126e-06,0.212658376
-0.0057000001,0.000900000334,-0.00149999978,0.21265915,-3.9319857e-06,-2.92161712e-06,0.21265915
-0.0057000001,0.000900000334,-0.00119999982,0.212659881,-4.01760917e-06,-2.4929177e-06,0.212659881
-0.0057000001,0.000900000334,-0.000899999868,0.212660119,-4.16647526e-06,-2.1198648e-06,0.212660119
-0.0057000001,0.000900000334,-0.000599999912,0.212660328,-4.3430482e-06,-1.63388904e-06,0.212660328
-0.0057000001,0.000900000334,-0.000299999956,0.212660879,-3.97345866e-06,-8.73231329e-07,0.212660879
-0.0057000001,0.000900000334,0,0.212660849,-4.20896686e-06,7.32834451e-08,0.212660849
-0.0057000001,0.000900000334,0.000300000422,0.212660834,-4.20933065e-06,8.00471753e-07,0.212660834
-0.0057000001,0.000900000334,0.000600000378,0.212660357,-4.4132903e-06,1.65170059e-06,0.212660357
-0.0057000001,0.000900000334,0.000900000334,0.212660208,-4.12995723e-06,2.1175947e-06,0.212660208
-0.0057000001,0.000900000334,0.00120000029,0.21265997,-4.02018486e-06,2.49792356e-06,0.21265997
-0.0057000001,0.000900000334,0.00150000025,0.212659314,-3.88212356e-06,2.9085204e-06,0.212659314
-0.0057000001,0.00120000029,-0.00119999982,0.212660536,-5.36277366e-06,-2.7611386e-06,0.212660536
-0.0057000001,0.00120000029,-0.000899999868,0.212661088,-5.57488238e-06,-1.96055043e-06,0.212661088
-0.0057000001,0.00120000029,-0.000599999912,0.212661251,-5.46935189e-06,-1.38761243e-06,0.212661252
